DATE,LAT,LON,SST
2017-02-22T03:00:10.000Z,6.02,99.98,-32767
2017-02-23T02:20:09.000Z,6.02,99.98,-32767
2017-02-24T02:55:09.000Z,6.02,99.98,-32767
2017-02-25T02:30:09.000Z,6.02,99.98,30.98
2017-02-26T02:45:09.000Z,6.02,99.98,-32767
2017-02-27T02:15:09.000Z,6.02,99.98,-32767
2017-02-28T02:35:09.000Z,6.02,99.98,-32767
2017-03-01T03:00:09.000Z,6.02,99.98,-32767
2017-03-02T02:25:10.000Z,6.02,99.98,-32767
2017-03-03T03:00:09.000Z,6.02,99.98,29.67
2017-03-04T02:35:09.000Z,6.02,99.98,30.89
2017-03-05T02:50:10.000Z,6.02,99.98,-32767
2017-03-06T02:25:10.000Z,6.02,99.98,-32767
2017-03-07T02:40:10.000Z,6.02,99.98,-32767
2017-03-08T02:10:10.000Z,6.02,99.98,-32767
2017-03-09T02:55:09.000Z,6.02,99.98,31.48
2017-03-10T03:00:09.000Z,6.02,99.98,31.56
2017-03-11T02:45:10.000Z,6.02,99.98,31.17
2017-03-12T02:55:09.000Z,6.02,99.98,31.04
2017-03-13T02:30:09.000Z,6.02,99.98,30.42
2017-03-14T02:45:09.000Z,6.02,99.98,31.66
2017-03-15T02:20:09.000Z,6.02,99.98,-32767
2017-03-16T03:00:10.000Z,6.02,99.98,-32767
2017-03-17T03:00:09.000Z,6.02,99.98,-32767
2017-03-18T02:50:09.000Z,6.02,99.98,-32767
2017-03-19T03:00:09.000Z,6.02,99.98,-32767
2017-03-20T02:40:09.000Z,6.02,99.98,-32767
2017-03-21T02:50:10.000Z,6.02,99.98,-32767
2017-03-22T02:25:10.000Z,6.02,99.98,-32767
2017-03-23T02:40:10.000Z,6.02,99.98,31.37
2017-03-24T02:15:10.000Z,6.02,99.98,-32767
2017-03-25T03:00:09.000Z,6.02,99.98,-32767
2017-03-26T03:00:10.000Z,6.02,99.98,33.67
2017-03-27T02:45:10.000Z,6.02,99.98,31.8
2017-03-28T02:55:09.000Z,6.02,99.98,-32767
2017-03-29T02:35:10.000Z,6.02,99.98,-32767
2017-03-30T02:45:09.000Z,6.02,99.98,-32767
2017-03-31T02:20:09.000Z,6.02,99.98,-32767
2017-04-01T03:00:10.000Z,6.02,99.98,30.78
2017-04-02T03:00:09.000Z,6.02,99.98,-32767
2017-04-03T02:50:09.000Z,6.02,99.98,-32767
2017-04-04T03:00:09.000Z,6.02,99.98,-32767
2017-04-05T02:40:09.000Z,6.02,99.98,-32767
2017-04-06T02:50:10.000Z,6.02,99.98,-32767
2017-04-07T02:25:10.000Z,6.02,99.98,29.61
2017-04-08T02:40:10.000Z,6.02,99.98,-32767
2017-04-09T02:15:10.000Z,6.02,99.98,-32767
2017-04-10T02:55:09.000Z,6.02,99.98,31.01
2017-04-11T03:00:10.000Z,6.02,99.98,-32767
2017-04-12T02:45:10.000Z,6.02,99.98,-32767
2017-04-13T02:55:09.000Z,6.02,99.98,-32767
2017-04-14T02:35:10.000Z,6.02,99.98,-32767
2017-04-15T02:45:09.000Z,6.02,99.98,31.05
2017-04-16T02:20:09.000Z,6.02,99.98,-32767
2017-04-17T03:00:10.000Z,6.02,99.98,31.81
2017-04-18T03:00:09.000Z,6.02,99.98,-32767
2017-04-19T02:50:09.000Z,6.02,99.98,32.76
2017-04-20T03:00:09.000Z,6.02,99.98,-32767
2017-04-21T02:40:09.000Z,6.02,99.98,31.22
2017-04-22T02:50:10.000Z,6.02,99.98,-32767
2017-04-23T02:25:09.000Z,6.02,99.98,-32767
2017-04-24T02:40:10.000Z,6.02,99.98,-32767
