DATE,LAT,LON,CHLOR
2016-05-12T02:54:59.000Z,6.02,99.98,-32767
2016-05-12T02:54:59.000Z,6.02,99.98,-32764.37805
2016-05-13T02:34:59.000Z,6.02,99.98,-32767
2016-05-13T02:34:59.000Z,6.02,99.98,-32778.7906
2016-05-14T02:44:59.000Z,6.02,99.98,-32767
2016-05-14T02:44:59.000Z,6.02,99.98,-32793.20315
2016-05-15T02:19:59.000Z,6.02,99.98,-32767
2016-05-15T02:19:59.000Z,6.02,99.98,-32807.6157
2016-05-16T02:59:59.000Z,6.02,99.98,-32767
2016-05-16T02:59:59.000Z,6.02,99.98,-32822.02825
2016-05-17T02:09:59.000Z,6.02,99.98,-32767
2016-05-17T02:09:59.000Z,6.02,99.98,-32836.4408
2016-05-18T02:49:59.000Z,6.02,99.98,-32767
2016-05-18T02:49:59.000Z,6.02,99.98,-32850.85335
2016-05-19T02:59:59.000Z,6.02,99.98,0.42
2016-05-19T02:59:59.000Z,6.02,99.98,-32865.2659
2016-05-20T02:39:59.000Z,6.02,99.98,-32767
2016-05-20T02:39:59.000Z,6.02,99.98,-32879.67845
2016-05-21T02:50:00.000Z,6.02,99.98,-32767
2016-05-21T02:50:00.000Z,6.02,99.98,-32894.091
2016-05-22T02:25:00.000Z,6.02,99.98,-32767
2016-05-22T02:25:00.000Z,6.02,99.98,-32908.50355
2016-05-23T02:40:00.000Z,6.02,99.98,-32767
2016-05-23T02:40:00.000Z,6.02,99.98,-32922.9161
2016-05-24T02:15:00.000Z,6.02,99.98,-32767
2016-05-24T02:15:00.000Z,6.02,99.98,-32937.32866
2016-05-25T02:54:59.000Z,6.02,99.98,-32767
2016-05-25T02:54:59.000Z,6.02,99.98,-32951.74121
2016-05-26T02:59:59.000Z,6.02,99.98,-32767
2016-05-26T02:59:59.000Z,6.02,99.98,-32966.15376
2016-05-27T02:45:00.000Z,6.02,99.98,-32767
2016-05-27T02:45:00.000Z,6.02,99.98,-32980.56631
2016-05-28T02:54:59.000Z,6.02,99.98,-32767
2016-05-28T02:54:59.000Z,6.02,99.98,-32994.97886
2016-05-29T02:29:59.000Z,6.02,99.98,-32767
2016-05-29T02:29:59.000Z,6.02,99.98,-33009.39141
2016-05-30T02:44:59.000Z,6.02,99.98,-32767
2016-05-30T02:44:59.000Z,6.02,99.98,-33023.80396
2016-05-31T02:19:59.000Z,6.02,99.98,-32767
